ime,leto_prve_registracije,prevozeni_kilometri,vrsta_goriva,vrsta_menjalnika,vrsta_motorja,cena
Golf,2003,269000,diesel motor,ročni menjalnik,50 kW / 68 KM,890

Amarok,2016,156000,diesel motor,avtomatski menjalnik,"2967 ccm, 165 kW / 224 KM",32.500

Golf,2010,192000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.490

Passat,2014,199000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",12.950

Caddy,2014,188000,diesel motor,ročni menjalnik,"1598 ccm, 75 kW / 102 KM",10.390

Golf,2005,330000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.767

Passat,2007,341500,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.400

Golf,2017,95000,bencinski motor,avtomatski menjalnik,"1984 ccm, 169 kW / 230 KM",22.990

Tiguan,2019,121992,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",26.970

T-Roc,2018,41623,bencinski motor,ročni menjalnik,"999 ccm, 85 kW / 116 KM",21.990

Tiguan,2017,129890,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.999

Passat,2018,133029,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",19.970

Passat,2003,360000,diesel motor,ročni menjalnik,85 kW / 116 KM,950

Golf,2012,190138,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.490

Passat,2008,309400,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.100

Sharan,2014,194000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",12.390

Golf,2000,128600,bencinski motor,ročni menjalnik,"1395 ccm, 110 kW / 150 KM",12.990

Sharan,2015,230415,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.490

Tiguan,2018,129983,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",26.490

Touran,2019,129941,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",21.990

Tiguan,2016,80441,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.500

Golf,2008,330000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",1.850

Polo,2014,81000,bencinski motor,ročni menjalnik,"1197 ccm, 66 kW / 90 KM",9.000

T-Cross,2018,46000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",18.900

Golf,2017,74000,bencinski motor,ročni menjalnik,"999 ccm, 81 kW / 110 KM",14.490

Golf,2006,260000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.590

Passat,2013,94000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",10.990

Golf,2018,76953,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",15.990

Golf,2009,179986,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.500

Passat,1999,250632,diesel motor,ročni menjalnik,"1896 ccm, 81 kW / 110 KM",600

Arteon,2018,110000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",27.990

Tiguan,2013,159200,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",13.990

Passat,2015,170000,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",12.380

Tiguan,2008,319000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.490

Sharan,2014,142323,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",21.990

Golf,2018,126798,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",15.970

Golf,2007,307200,bencinski motor,avtomatski menjalnik,"3189 ccm, 184 kW / 250 KM",16.000

Jetta,2016,198000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",10.290

Golf,2015,245000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.850

Passat,2002,340000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.850

Passat,2004,301478,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.750

Golf,1986,300000,diesel motor,ročni menjalnik,"1588 ccm, 51 kW / 69 KM",500

Touran,2012,212200,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.999

Golf,2013,164870,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",11.999

up!,2017,83200,bencinski motor,ročni menjalnik,"999 ccm, 66 kW / 90 KM",9.499

Tiguan,2017,68266,bencinski motor,ročni menjalnik,"1395 ccm, 92 kW / 125 KM",21.999

Touareg,2010,245000,diesel motor,avtomatski menjalnik,"2967 ccm, 176 kW / 239 KM",16.500

Golf,2009,247000,bencinski motor,ročni menjalnik,"1798 ccm, 118 kW / 160 KM",5.200

Golf,2013,187000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.999

Passat,2000,300000,diesel motor,ročni menjalnik,"2496 ccm, 110 kW / 150 KM",1.690

Golf,2005,322461,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.444

Caddy,2016,116000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",19.900

Passat,2017,108000,diesel motor,avtomatski menjalnik,"1968 ccm, 176 kW / 239 KM",20.890

Fox,2006,185000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.490

Passat,2017,185443,diesel motor,ročni menjalnik,"1596 ccm, 88 kW / 120 KM",12.550

Passat,2012,221000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.290

Golf,2014,229000,bencinski motor,ročni menjalnik,"1984 ccm, 169 kW / 230 KM",15.990

Caddy,2015,168000,diesel motor,ročni menjalnik,"1968 ccm, 55 kW / 75 KM",11.890

Passat,2015,203000,diesel motor,avtomatski menjalnik,"1598 ccm, 88 kW / 120 KM",11.299

Jetta,2007,245512,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.250

Passat,2017,145158,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.900

T-Roc,2018,65000,bencinski motor,ročni menjalnik,"999 ccm, 85 kW / 116 KM",19.000

Tiguan,2014,199000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",13.950

up!,2018,64440,bencinski motor,ročni menjalnik,"999 ccm, 44 kW / 60 KM",8.899

Passat,2016,189000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",12.950

Polo,2003,205000,bencinski motor,ročni menjalnik,47 kW / 64 KM,1.000

Golf,2009,230000,bencinski motor,ročni menjalnik,"1390 ccm, 90 kW / 122 KM",4.999

Touran,2018,156000,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",17.350

Polo,2007,210000,diesel motor,ročni menjalnik,"1422 ccm, 51 kW / 69 KM",2.950

Touran,2012,96864,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",9.600

Tiguan,2017,142300,diesel motor,ročni menjalnik,"1968 ccm, 85 kW / 116 KM",18.990

Tiguan,2016,86000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",23.550

Transporter,1986,206000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",14.899

Caddy,2016,142000,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",14.890

Passat,2015,139000,diesel motor,avtomatski menjalnik,"1968 ccm, 176 kW / 239 KM",20.990

Golf,2015,137000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.580

Passat,2006,280000,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",2.500

Golf,2017,48000,bencinski motor,ročni menjalnik,"999 ccm, 81 kW / 110 KM",14.990

Polo,2015,107000,bencinski motor,ročni menjalnik,"1197 ccm, 66 kW / 90 KM",7.900

Touareg,2008,322000,diesel motor,avtomatski menjalnik,"2461 ccm, 128 kW / 174 KM",7.700

Passat,2016,167000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",17.990

Passat,2003,332000,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",1.350

Golf,2010,209000,bencinski motor,ročni menjalnik,"1984 ccm, 155 kW / 211 KM",14.000

Passat,2014,177300,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.900

Touran,2018,140791,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",16.500

Tiguan,2016,124500,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.950

Passat,2008,300581,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",4.000

Touran,2017,98000,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",18.690

Golf,2017,158000,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",13.890

Golf,2013,159358,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",13.000

Polo,2003,152000,bencinski motor,ročni menjalnik,"1199 ccm, 47 kW / 64 KM",1.390

Polo,2016,137000,diesel motor,ročni menjalnik,"1422 ccm, 55 kW / 75 KM",9.222

Passat,2007,274000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.200

Passat,2016,190000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",15.800

Multivan,1996,317000,diesel motor,ročni menjalnik,"2370 ccm, 57 kW / 77 KM",9.100

Golf,2009,260000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.000

Passat,2010,338000,diesel motor,avtomatski menjalnik,"1968 ccm, 125 kW / 170 KM",9.999

Passat,2011,143000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",9.900

Multivan,2018,70000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",47.900

Passat,2017,200000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.990

Golf,2013,280000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.555

Passat,2017,111500,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.490

Golf,2003,257000,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",2.000

Passat,2016,159700,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.490

Caddy,2011,304000,diesel motor,ročni menjalnik,"1598 ccm, 75 kW / 102 KM",6.900

Golf,2010,178513,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.490

Passat,2014,199980,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",10.990

Sharan,2013,280000,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",12.000

Passat,2018,126000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",23.500

Golf,2014,154214,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",9.000

Passat,2015,183500,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.990

Tiguan,2020,16500,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",38.500

Golf,2015,141000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",11.000

Golf,2006,218000,bencinski motor,ročni menjalnik,"1390 ccm, 59 kW / 80 KM",3.390

Golf,2014,225000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",12.590

Touran,2020,28000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",31.200

Tiguan,2018,84000,diesel motor,ročni menjalnik,"1968 ccm, 85 kW / 116 KM",21.700

Touran,2012,244527,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.690

Touareg,2008,345000,diesel motor,ročni menjalnik,"2967 ccm, 165 kW / 224 KM",5.700

Passat,2011,299644,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.390

Golf,2013,175000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.990

